ID,bgnDt,endDt,Duration,Volume,Peak,AvQ,POT
331,9/2/1957,9/20/1957,19,62.8,7.9,3.305263158,2.390127389
333,9/22/1957,10/11/1957,20,903.5,278,45.175,6.153846154
335,10/13/1957,11/4/1957,23,13737.2,5440,597.2695652,9.108115191
337,11/7/1957,12/20/1957,44,11555.5,1920,262.625,7.310804379
339,12/27/1957,2/8/1958,44,22807,3000,518.3409091,5.78769676
341,2/10/1958,2/19/1958,10,1016,198,101.6,1.948818898
343,2/21/1958,4/6/1958,45,4255.2,1040,94.56,10.99830795
345,4/9/1958,5/1/1958,23,319.7,86,13.9,6.18705036
347,5/3/1958,5/21/1958,19,1297.5,354,68.28947368,5.183815029
349,5/23/1958,6/9/1958,18,588.2,188,32.67777778,5.753145189
351,6/17/1958,6/19/1958,3,17.2,10,5.733333333,1.744186047
353,7/14/1958,7/23/1958,10,8.2,2.8,0.82,3.414634146
355,8/13/1958,10/25/1958,74,4251.3,576,57.45,10.02610966
357,10/27/1958,11/16/1958,21,110,13,5.238095238,2.481818182
359,11/18/1958,11/30/1958,13,116.4,26,8.953846154,2.903780069
361,12/22/1958,1/11/1959,21,17.7,2.4,0.842857143,2.847457627
363,1/14/1959,1/17/1959,4,0.8,0.4,0.2,2
365,1/29/1959,3/23/1959,54,3994.1,692,73.96481481,9.355799805
367,3/26/1959,5/7/1959,43,25134.5,3690,584.5232558,6.312836937
369,5/10/1959,5/21/1959,12,6693,1740,557.75,3.119677275
371,5/23/1959,6/3/1959,12,3335,796,277.9166667,2.864167916
373,6/5/1959,7/16/1959,42,4010.5,997,95.48809524,10.44109213
375,7/19/1959,8/13/1959,26,1050.1,395,40.38846154,9.78002095
377,8/15/1959,9/20/1959,37,3215.7,866,86.91081081,9.964237958
379,9/22/1959,10/11/1959,20,413.2,99,20.66,4.791868345
381,10/13/1959,10/29/1959,17,735.7,249,43.27647059,5.753703955
383,10/31/1959,12/7/1959,38,2252.8,512,59.28421053,8.636363636
385,12/9/1959,1/12/1960,35,9365.7,1380,267.5914286,5.157115859
387,1/14/1960,2/1/1960,19,2945,800,155,5.161290323
389,2/3/1960,4/21/1960,79,10674.9,1190,135.1253165,8.806639875
